model,train set images,pretrained,pretrained dataset,Trained layers,epochs,batch size,learning rate,optimizer,training time (seconds),train accuracy,train loss,validation accuracy,validation loss,test accuracy,normalization
xception,8348,True,Imagenet,All,30,50,0.001,ADAM,3862.0,0.9884,0.2535,1.0,0.2849,0.98657,
resnet50,8348,True,Imagenet,All,30,50,0.001,ADAM,1001.0,0.9777,0.3121,1.0,0.3751,0.981405,
opticnet,8348,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,5955.0,0.9999,0.000517,1.0,2.15e-05,0.994835,
xception,20871,True,Imagenet,All,30,50,0.001,ADAM,9595.0,0.9912,0.0703,1.0,0.0494,0.987603,
resnet50,20871,True,Imagenet,All,30,50,0.001,ADAM,2500.0,0.9896,0.0792,0.9688,0.1396,0.992769,
opticnet,20871,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,14733.0,0.9985,0.002,0.9688,0.0281,0.992769,
xception,33393,True,Imagenet,All,30,50,0.001,ADAM,15333.0,0.9939,0.042,0.9688,0.153,0.989669,
resnet50,33393,True,Imagenet,All,30,50,0.001,ADAM,4000.0,0.9946,0.0357,0.9688,0.1825,0.988636,
opticnet,33393,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,23646.0,0.9989,0.0016,0.9688,0.1843,0.995868,
xception,834,True,Imagenet,All,30,50,0.001,ADAM,397.0,0.7642,1.1867,0.5,1.2875,0.5,
resnet50,834,True,Imagenet,All,30,50,0.001,ADAM,103.0,0.9949,1.0972,0.9688,1.1638,0.966942,
opticnet,834,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,619.0,1.0,0.00030903,0.9688,0.0275,0.984504,
xception,2087,True,Imagenet,All,30,50,0.001,ADAM,970.0,0.7688,0.9701,0.5,1.135,0.5,
resnet50,2087,True,Imagenet,All,30,50,0.001,ADAM,251.0,0.9947,0.8495,0.9688,0.9547,0.974174,
opticnet,2087,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,1500.0,1.0,0.00021614,1.0,0.0062,0.987603,
xception,4174,True,Imagenet,All,30,50,0.001,ADAM,1911.0,0.8662,0.7109,0.75,0.8965,0.743802,
resnet50,4174,True,Imagenet,All,30,50,0.001,ADAM,522.0,0.9961,0.5482,1.0,0.6532,0.985537,
opticnet,4174,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,2979.0,1.0,4.27e-05,1.0,3.87e-06,0.993802,
xception,6261,True,Imagenet,All,30,50,0.001,ADAM,2918.0,0.8644,0.5768,0.75,0.7586,0.740702,
resnet50,6261,True,Imagenet,All,30,50,0.001,ADAM,760.0,0.9941,0.3659,1.0,0.4484,0.981405,
opticnet,6261,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,4447.0,0.9998,0.00033674,1.0,7.75e-07,0.987603,
xception,7513,True,Imagenet,All,30,50,0.001,ADAM,3609.0,0.9923,0.2848,1.0,0.3369,0.993802,
resnet50,7513,True,Imagenet,All,30,50,0.001,ADAM,910.0,0.996,0.2794,1.0,0.3494,0.980372,
opticnet,7513,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,5334.0,0.9996,0.00054821,1.0,0.0001103,0.989669,
xception,834,False,,All,30,50,0.001,ADAM,409.0,0.7586,1.1372,0.25,1.3998,0.25,
resnet50,834,False,,All,30,50,0.001,ADAM,104.0,0.7249,1.2098,0.5,1.353,0.490702,
opticnet,834,False,,All,30,50,0.001,ADAM,626.0,0.9933,0.051,0.5625,1.6493,0.622934,
xception,2087,False,,All,30,50,0.001,ADAM,970.0,0.8594,0.9007,0.6562,1.1787,0.676653,
resnet50,2087,False,,All,30,50,0.001,ADAM,252.0,0.7418,1.0223,0.5,1.3231,0.490702,
opticnet,2087,False,,All,30,50,0.001,ADAM,1492.0,0.9963,0.0114,0.8125,0.8462,0.838843,
xception,4174,False,,All,30,50,0.001,ADAM,1942.0,0.8738,0.6256,0.75,0.7697,0.742769,
resnet50,4174,False,,All,30,50,0.001,ADAM,523.0,0.461,1.2321,0.25,1.5402,0.25,
opticnet,4174,False,,All,30,50,0.001,ADAM,2989.0,0.9999,0.0019,0.9688,0.4129,0.921488,
xception,6261,False,,All,30,50,0.001,ADAM,2936.0,0.8833,0.5017,0.75,0.6985,0.739669,
resnet50,6261,False,,All,30,50,0.001,ADAM,761.0,0.8123,0.6873,0.7188,0.978,0.703512,
opticnet,6261,False,,All,30,50,0.001,ADAM,4458.0,0.9999,0.0017,1.0,0.0071,0.941116,
xception,7513,False,,All,30,50,0.001,ADAM,3516.0,0.8859,0.4541,0.75,0.7385,0.732438,
resnet50,7513,False,,All,30,50,0.001,ADAM,912.0,0.8257,0.6576,0.7188,0.9862,0.703512,
opticnet,7513,False,,All,30,50,0.001,ADAM,5348.0,0.9983,0.0045,0.9375,0.4481,0.948347,
xception,8348,False,,All,30,50,0.001,ADAM,3925.0,0.968,0.3431,0.9688,0.4902,0.948347,
resnet50,8348,False,,All,30,50,0.001,ADAM,1003.0,0.4403,1.2267,0.25,1.5656,0.25,
opticnet,8348,False,,All,30,50,0.001,ADAM,5909.0,0.9995,0.0016,0.9688,0.2877,0.960744,
xception,20871,False,,All,30,50,0.001,ADAM,9686.0,0.991,0.0756,0.9688,0.0848,0.982438,
resnet50,20871,False,,All,30,50,0.001,ADAM,2532.0,0.8943,0.2717,0.75,0.4388,0.75,
opticnet,20871,False,,All,30,50,0.001,ADAM,14772.0,0.9982,0.0051,0.9688,0.2567,0.985537,
xception,33393,False,,All,30,50,0.001,ADAM,15571.0,0.994,0.0435,1.0,0.0255,0.989669,
resnet50,33393,False,,All,30,50,0.001,ADAM,4030.0,0.4482,1.2298,0.25,1.561,0.25,
opticnet,33393,False,,All,30,50,0.001,ADAM,23604.0,0.9989,0.0029,0.9688,0.2996,0.989669,
xception,41742,False,,All,30,50,0.001,ADAM,19606.0,0.9959,0.0259,0.9688,0.1262,0.992769,
resnet50,41742,False,,All,30,50,0.001,ADAM,5036.0,0.4518,1.2237,0.25,1.5591,0.25,
opticnet,41742,False,,All,30,50,0.001,ADAM,29512.0,0.9982,0.0041,0.9688,0.2658,0.990702,
xception,50090,False,,All,30,50,0.001,ADAM,23446.0,0.9961,0.0236,0.9688,0.1898,0.994835,
resnet50,50090,False,,All,30,50,0.001,ADAM,6041.0,0.9777,0.0905,0.9688,0.0552,0.989669,
opticnet,50090,False,,All,30,50,0.001,ADAM,35595.0,0.9975,0.0051,0.9688,0.2066,0.989669,
xception,62613,False,,All,30,50,0.001,ADAM,28965.0,0.9958,0.0198,0.9688,0.0809,0.998967,
resnet50,62613,False,,All,30,50,0.001,ADAM,7530.0,0.4472,1.2278,0.25,1.5575,0.25,
opticnet,62613,False,,All,30,50,0.001,ADAM,44396.0,0.9971,0.006,0.9688,0.1276,0.994835,
xception,75135,False,,All,30,50,0.001,ADAM,34855.0,0.9959,0.0176,0.9688,0.0381,0.995868,
resnet50,75135,False,,All,30,50,0.001,ADAM,9042.0,0.9897,0.0423,1.0,0.0311,0.996901,
opticnet,75135,False,,All,30,50,0.001,ADAM,53454.0,0.9966,0.0057,1.0,0.0105,0.996901,
xception,41742,True,Imagenet,All,30,50,0.001,ADAM,19448.0,0.9964,0.0212,0.9688,0.2027,0.993802,
resnet50,41742,True,Imagenet,All,30,50,0.001,ADAM,5049.0,0.996,0.0254,0.9688,0.2026,0.992769,
opticnet,41742,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,29697.0,0.9983,0.0032,0.9688,0.2159,0.994835,
xception,50090,True,Imagenet,All,30,50,0.001,ADAM,23646.0,0.9973,0.0152,0.9688,0.215,0.993802,
resnet50,50090,True,Imagenet,All,30,50,0.001,ADAM,6046.0,0.9959,0.0209,0.9688,0.1622,0.990702,
opticnet,50090,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,35579.0,0.998,0.0033,0.9688,0.1819,0.997934,
xception,62613,True,Imagenet,All,30,50,0.001,ADAM,32085.0,0.9963,0.0159,0.9688,0.2181,0.996901,
resnet50,62613,True,Imagenet,All,30,50,0.001,ADAM,7456.0,0.9965,0.0151,0.9688,0.2182,0.993802,
opticnet,62613,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,44634.0,0.9967,0.0043,0.9688,0.1563,0.995868,
xception,75135,True,Imagenet,All,30,50,0.001,ADAM,34404.0,0.9967,0.0145,1.0,0.0237,0.997934,
resnet50,75135,True,Imagenet,All,30,50,0.001,ADAM,9011.0,0.9964,0.0127,1.0,0.0238,0.998967,
opticnet,75135,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,53219.0,0.9971,0.0043,1.0,0.0166,1.0,
xception,83484,True,Imagenet,All,30,50,0.001,ADAM,38841.0,0.9965,0.0107,1.0,0.0225,0.998967,
resnet50,83484,True,Imagenet,All,30,50,0.001,ADAM,9964.0,0.9962,0.0126,1.0,0.0191,0.996901,
opticnet,83484,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,59298.0,0.9971,0.0043,1.0,0.017,0.998967,
xception,834,True,Imagenet,Last dense,30,50,0.001,ADAM,78.0,0.1681,1.3899,0.25,1.3826,0.251033,
resnet50,834,True,Imagenet,Last dense,30,50,0.001,ADAM,38.0,0.2125,1.3875,0.1875,1.385,0.221074,
opticnet,834,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,165.0,0.1473,280.6705,0.25,217.3077,0.25,
xception,2087,True,Imagenet,Last dense,30,50,0.001,ADAM,157.0,0.1581,1.4101,0.2812,1.3917,0.259298,
resnet50,2087,True,Imagenet,Last dense,30,50,0.001,ADAM,68.0,0.2204,1.3822,0.2188,1.3842,0.239669,
opticnet,2087,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,374.0,0.1468,286.7875,0.25,217.3077,0.25,
xception,4174,True,Imagenet,Last dense,30,50,0.001,ADAM,307.0,0.1585,1.3873,0.25,1.3869,0.253099,
resnet50,4174,True,Imagenet,Last dense,30,50,0.001,ADAM,158.0,0.3006,1.3854,0.25,1.389,0.28719,
opticnet,4174,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,733.0,0.1417,291.0256,0.25,217.3077,0.25,
xception,6261,True,Imagenet,Last dense,30,50,0.001,ADAM,485.0,0.3141,1.3839,0.25,1.3846,0.248967,
resnet50,6261,True,Imagenet,Last dense,30,50,0.001,ADAM,218.0,0.1844,1.3922,0.1562,1.391,0.160124,
opticnet,6261,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,1092.0,0.1349,292.1636,0.25,217.3077,0.25,
xception,7513,True,Imagenet,Last dense,30,50,0.001,ADAM,577.0,0.1456,1.3877,0.2188,1.3877,0.241736,
resnet50,7513,True,Imagenet,Last dense,30,50,0.001,ADAM,279.0,0.2896,1.3848,0.25,1.3914,0.232438,
opticnet,7513,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,1333.0,0.1277,293.3551,0.25,217.3077,0.25,
xception,8348,True,Imagenet,Last dense,30,50,0.001,ADAM,636.0,0.4123,1.3741,0.3125,1.3821,0.247934,
resnet50,8348,True,Imagenet,Last dense,30,50,0.001,ADAM,308.0,0.3035,1.3823,0.125,1.3881,0.216942,
opticnet,8348,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,1460.0,0.1367,293.7854,0.25,217.3077,0.25,
xception,20871,True,Imagenet,Last dense,30,50,0.001,ADAM,1567.0,0.4215,1.3614,0.2812,1.3816,0.237603,
resnet50,20871,True,Imagenet,Last dense,30,50,0.001,ADAM,729.0,0.2012,1.388,0.1562,1.386,0.202479,
opticnet,20871,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,3641.0,0.1324,293.0984,0.25,217.3077,0.25,
xception,33393,True,Imagenet,Last dense,30,50,0.001,ADAM,2496.0,0.1452,1.3968,0.25,1.3917,0.247934,
resnet50,33393,True,Imagenet,Last dense,30,50,0.001,ADAM,1155.0,0.193,1.3877,0.3438,1.3833,0.216942,
opticnet,33393,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,5805.0,0.136,288.2246,0.25,217.3077,0.25,
xception,41742,True,Imagenet,Last dense,30,50,0.001,ADAM,3124.0,0.4317,1.3718,0.2812,1.3857,0.259298,
resnet50,41742,True,Imagenet,Last dense,30,50,0.001,ADAM,1449.0,0.2919,1.3842,0.25,1.3835,0.333678,
opticnet,41742,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,7272.0,0.1354,290.0511,0.25,217.3077,0.25,
xception,50090,True,Imagenet,Last dense,30,50,0.001,ADAM,3757.0,0.4125,1.378,0.3125,1.3866,0.253099,
resnet50,50090,True,Imagenet,Last dense,30,50,0.001,ADAM,1747.0,0.2937,1.386,0.2188,1.3831,0.302686,
opticnet,50090,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,8714.0,0.1379,287.8871,0.25,217.3077,0.25,
xception,62613,True,Imagenet,Last dense,30,50,0.001,ADAM,4632.0,0.1393,1.3856,0.25,1.3863,0.247934,
resnet50,62613,True,Imagenet,Last dense,30,50,0.001,ADAM,2167.0,0.164,1.3924,0.1875,1.3892,0.258264,
opticnet,62613,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,10874.0,0.1352,289.6305,0.25,217.3077,0.25,
xception,75135,True,Imagenet,Last dense,30,50,0.001,ADAM,5576.0,0.1225,1.38,0.2812,1.3839,0.246901,
resnet50,75135,True,Imagenet,Last dense,30,50,0.001,ADAM,2598.0,0.2658,1.3827,0.3438,1.3806,0.241736,
opticnet,75135,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,13049.0,0.1342,289.0997,0.25,217.3077,0.25,
xception,83484,True,Imagenet,Last dense,30,50,0.001,ADAM,6185.0,0.2843,1.3815,0.3125,1.382,0.234504,
resnet50,83484,True,Imagenet,Last dense,30,50,0.001,ADAM,2856.0,0.2842,1.3856,0.25,1.3847,0.279959,
opticnet,83484,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,ADAM,14511.0,0.1349,289.2829,0.25,217.3077,0.25,
xception,834,False,,All,30,50,0.001,Adam,483.215473651886,0.7541966438293457,1.153205156326294,0.25,1.4082549810409546,0.2644628099173554,
resnet,834,False,,All,30,50,0.001,Adam,202.569988489151,0.4388489127159118,1.273587703704834,0.25,1.4265053272247314,0.25,
opticnet,834,False,,All,30,50,0.001,Adam,669.5840091705322,0.9988009333610536,0.0152153735980391,0.59375,2.053444623947144,0.5640495867768595,
xception,2087,False,,All,30,50,0.001,Adam,1056.1455464363098,0.873981773853302,0.9073007702827454,0.75,1.1153982877731323,0.7283057851239669,
resnet,2087,False,,All,30,50,0.001,Adam,353.28974056243896,0.7369430065155029,1.019677758216858,0.5,1.2746185064315796,0.4752066115702479,
opticnet,2087,False,,All,30,50,0.001,Adam,1549.840068817139,0.9990416765213012,0.0037617983762174,0.875,0.4908146262168884,0.8254132231404959,
xception,4174,False,,All,30,50,0.001,Adam,2020.9915561676023,0.8895543813705444,0.6738191246986389,0.75,0.959813952445984,0.7417355371900827,
resnet,4174,False,,All,30,50,0.001,Adam,600.8304731845856,0.7340680360794067,0.8148326873779297,0.5,1.099616289138794,0.493801652892562,
opticnet,4174,False,,All,30,50,0.001,Adam,3026.122472524643,0.9995208382606506,0.0024299828801304,0.90625,0.5588595271110535,0.9090909090909092,
xception,6261,False,,All,30,50,0.001,Adam,2998.741213321686,0.8859606981277466,0.5445849895477295,0.71875,0.8806368112564087,0.7365702479338843,
resnet,6261,False,,All,30,50,0.001,Adam,850.6700472831726,0.4454559981822967,1.2347362041473389,0.25,1.5491888523101809,0.25,
opticnet,6261,False,,All,30,50,0.001,Adam,4480.4904589653015,0.9990416765213012,0.003198180347681,1.0,0.0088536459952592,0.9617768595041324,
xception,7513,False,,All,30,50,0.001,Adam,3534.3403787612915,0.9744442701339722,0.3369712829589844,1.0,0.3927139043807983,0.9710743801652892,
resnet,7513,False,,All,30,50,0.001,Adam,994.667281150818,0.4469586014747619,1.2336935997009275,0.25,1.5508928298950195,0.25,
opticnet,7513,False,,All,30,50,0.001,Adam,5356.500047206879,0.9992013573646544,0.0022488802205771,1.0,0.0094029968604445,0.9710743801652892,
xception,8348,False,,All,30,50,0.001,Adam,4240.659282207489,0.9799951910972596,0.295318454504013,1.0,0.3399762511253357,0.9772727272727272,
resnet,8348,False,,All,30,50,0.001,Adam,1097.3312876224518,0.4465740323066711,1.200123310089111,0.25,1.4060310125350952,0.25,
opticnet,8348,False,,All,30,50,0.001,Adam,5924.467301130295,0.998802125453949,0.0043385378085076,0.96875,0.0957876965403556,0.9721074380165288,
xception,20871,False,,All,30,50,0.001,Adam,9717.68715763092,0.9908485412597656,0.1483014971017837,1.0,0.2202745974063873,0.993801652892562,
resnet,20871,False,,All,30,50,0.001,Adam,2584.2722454071045,0.4442048668861389,1.2329888343811035,0.25,1.5526888370513916,0.25,
opticnet,20871,False,,All,30,50,0.001,Adam,14805.638239860536,0.9989458918571472,0.0031304764561355,1.0,0.0007494939491152,0.9783057851239668,
xception,33393,False,,All,30,50,0.001,Adam,15582.017060995102,0.993711233139038,0.0419328510761261,1.0,0.0286043230444192,0.9886363636363636,
resnet,33393,False,,All,30,50,0.001,Adam,4086.5094566345215,0.9801155924797058,0.0932680144906044,1.0,0.0427938029170036,0.9886363636363636,
opticnet,33393,False,,All,30,50,0.001,Adam,23622.960916519165,0.9984128475189208,0.0037500404287129,1.0,0.0001504210376879,0.9896694214876032,
xception,41742,False,,All,30,50,0.001,Adam,19327.90753722191,0.9953044652938844,0.0272580161690711,1.0,0.0194252878427505,0.993801652892562,
resnet,41742,False,,All,30,50,0.001,Adam,5069.024575710297,0.4443965256214142,1.2327646017074585,0.25,1.5536478757858276,0.25,
opticnet,41742,False,,All,30,50,0.001,Adam,29554.985659122467,0.9980595111846924,0.0044921771623194,0.96875,0.2690820395946502,0.9907024793388428,
xception,50090,False,,All,30,50,0.001,Adam,23272.61401438713,0.9953683614730836,0.0275697708129882,0.96875,0.1701920181512832,0.9958677685950412,
resnet,50090,False,,All,30,50,0.001,Adam,6071.400238275528,0.978219211101532,0.0942905321717262,1.0,0.034573771059513,0.993801652892562,
opticnet,50090,False,,All,30,50,0.001,Adam,35334.92643880844,0.9974845051765442,0.0054235369898378,0.96875,0.1068738475441932,0.993801652892562,
xception,62613,False,,All,30,50,0.001,Adam,29796.01796889305,0.9955440759658812,0.0194438304752111,0.96875,0.0666877478361129,0.9989669421487604,
resnet,62613,False,,All,30,50,0.001,Adam,7568.245720148087,0.9816811084747314,0.0723150372505188,1.0,0.0205502975732088,0.993801652892562,
opticnet,62613,False,,All,30,50,0.001,Adam,44230.94309616089,0.9971731305122375,0.0069251637905836,0.96875,0.1018293276429176,0.9958677685950412,
xception,75135,False,,All,30,50,0.001,Adam,37859.91278409958,0.9953949451446532,0.0177009049803018,0.96875,0.0693923085927963,0.9958677685950412,
resnet,75135,False,,All,30,50,0.001,Adam,9038.81168270111,0.4457842409610748,1.2299386262893677,0.25,1.5568501949310305,0.25,
opticnet,75135,False,,All,30,50,0.001,Adam,52826.89816379547,0.9963532090187072,0.0068208598531782,0.96875,0.0391394942998886,0.9948347107438016,
xception,83484,False,,All,30,50,0.001,Adam,38782.03964471817,0.9958555102348328,0.0131108276546001,0.96875,0.0313356965780258,0.9958677685950412,
resnet,83484,False,,All,30,50,0.001,Adam,10074.75638127327,0.4456542432308197,1.2297543287277222,0.25,1.5573463439941406,0.25,
opticnet,83484,False,,All,30,50,0.001,Adam,58716.70174956322,0.9960950613021852,0.0073038730770349,1.0,0.0120217539370059,0.9989669421487604,
xception,834,True,Imagenet,Last dense,30,50,0.001,Adam,151.8225166797638,0.1199040785431861,1.3891712427139282,0.25,1.385303020477295,0.2479338842975206,
resnet,834,True,Imagenet,Last dense,30,50,0.001,Adam,128.20635533332825,0.2278177440166473,1.391726851463318,0.15625,1.3918488025665283,0.2376033057851239,
opticnet,834,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,Adam,212.1320958137512,0.1414868086576461,281.9547424316406,0.25,217.3077392578125,0.25,
xception,2087,True,Imagenet,Last dense,30,50,0.001,Adam,240.3545982837677,0.2903689444065094,1.3782293796539309,0.25,1.3814072608947754,0.2334710743801653,
resnet,2087,True,Imagenet,Last dense,30,50,0.001,Adam,170.19449973106384,0.1830378472805023,1.3877451419830322,0.375,1.3794610500335691,0.2365702479338843,
opticnet,2087,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,Adam,425.7076632976532,0.1341638714075088,287.0374755859375,0.25,217.3077392578125,0.25,
xception,4174,True,Imagenet,Last dense,30,50,0.001,Adam,393.9467830657959,0.1518926620483398,1.3847343921661377,0.21875,1.3873792886734009,0.2458677685950413,
resnet,4174,True,Imagenet,Last dense,30,50,0.001,Adam,242.79775953292847,0.2333493083715438,1.3915796279907229,0.25,1.3865958452224731,0.2851239669421487,
opticnet,4174,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,Adam,787.2335214614868,0.1406324803829193,286.1564025878906,0.25,217.3077392578125,0.25,
xception,6261,True,Imagenet,Last dense,30,50,0.001,Adam,546.7923102378845,0.3972208797931671,1.3845771551132202,0.34375,1.383768081665039,0.25,
resnet,6261,True,Imagenet,Last dense,30,50,0.001,Adam,311.283988237381,0.303625613451004,1.3847743272781372,0.1875,1.3914692401885986,0.2696280991735537,
opticnet,6261,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,Adam,1146.566101551056,0.1395943164825439,287.4263916015625,0.25,217.3077392578125,0.25,
xception,7513,True,Imagenet,Last dense,30,50,0.001,Adam,639.6173212528229,0.1554638594388961,1.3964978456497192,0.21875,1.3899005651474,0.2417355371900826,
resnet,7513,True,Imagenet,Last dense,30,50,0.001,Adam,354.1717116832733,0.2695327997207641,1.3891395330429075,0.28125,1.387352705001831,0.3037190082644628,
opticnet,7513,True,"OCT2017,Srinivasan2014",Last dense,30,50,0.001,Adam,1365.5516481399536,0.1376281082630157,288.4674987792969,0.25,217.3077392578125,0.25,
xception,8348,True,Imagenet,Last dense,30,50,0.001,Adam,701.1103625297546,0.28988978266716,1.3824923038482666,0.28125,1.3866373300552368,0.253099173553719,
